Datum;DAX
03.1991;34093.80947050263
04.1991;35951.863875517745
05.1991;38153.1400425389
06.1991;36318.8178663383
07.1991;36321.72842270234
08.1991;36952.87137579761
09.1991;35979.626105451694
10.1991;35420.575394604275
11.1991;35073.77140938095
12.1991;35329.22870256353
01.1992;37781.0366058435
02.1992;37781.0366058435
03.1992;38460.98735027426
04.1992;38823.01578417105
05.1992;40372.103436695405
06.1992;39239.44923318034
07.1992;36167.46893540804
08.1992;34506.88458524572
09.1992;32830.17799171611
10.1992;33411.395947609984
11.1992;34576.06627112952
12.1992;34591.96238665622
01.1993;35191.984775551326
02.1993;37710.7354752043
03.1993;37707.60102988918
04.1993;36430.98623082951
05.1993;36535.31848203291
06.1993;38008.06000223889
07.1993;40372.32732564648
08.1993;43543.9382066495
09.1993;42890.63024739729
10.1993;45638.86712190753
11.1993;46071.19668644352
12.1993;50748.46076346133
01.1994;48750.69965297213
02.1994;46827.94134109482
03.1994;47757.976043882234
04.1994;50285.01063472518
05.1994;47636.852121347816
06.1994;45345.12481809023
07.1994;48060.89779469383
08.1994;49543.26653979626
09.1994;45040.85973357215
10.1994;46381.50677264077
11.1994;45858.27829396621
12.1994;47163.9986566663
01.1995;45254.00201500056
02.1995;47065.48751819098
03.1995;43044.665845740514
04.1995;45134.66920407478
05.1995;46755.84909884697
06.1995;46678.83129967537
07.1995;49571.02876973022
08.1995;50153.1400425389
09.1995;48984.663606851005
10.1995;48356.43121011979
11.1995;50037.613343781486
12.1995;50749.58020821673
01.1996;55321.16870032464
02.1996;55503.63819545506
03.1996;55629.91156386433
04.1996;55931.26609201836
05.1996;56955.33415425949
06.1996;57343.33146759208
07.1996;55332.13925892758
08.1996;56906.74801298556
09.1996;59259.37534982649
10.1996;59658.5693496026
11.1996;63541.02765028546
12.1996;64069.405574834884
01.1997;67765.1404903168
02.1997;72943.9158177544
03.1997;77036.60584350163
04.1997;76918.61636628232
05.1997;79758.4238217844
06.1997;85187.7308854808
07.1997;99528.48763013545
08.1997;87029.88917496923
09.1997;93267.43535206538
10.1997;84277.17452143737
11.1997;88422.0306727863
12.1997;94893.31691481026
01.1998;99392.58927571925
02.1998;105592.52210903392
03.1998;114054.85279301467
04.1998;114553.22959811936
05.1998;124506.21291839248
06.1998;131660.58435016233
07.1998;133408.26150229486
08.1998;110663.83073995299
09.1998;101099.51863875518
10.1998;104418.00067166686
11.1998;115406.91816858838
12.1998;112650.17351393712
01.1999;115459.97984999443
02.1999;109050.93473637076
03.1999;108721.37020038061
04.1999;120366.73010186949
05.1999;112896.89913802754
06.1999;120419.12011642227
07.1999;114225.23228478675
08.1999;118006.71666853243
09.1999;115299.0036941677
10.1999;123707.60102988918
11.1999;132005.8211127281
12.1999;155785.06660696297
01.2000;153041.5314004254
02.2000;171153.02809806337
03.2000;170141.9455949849
04.2000;166006.49277958134
05.2000;159177.6558826822
06.2000;154443.30012313894
07.2000;160984.43971789992
08.2000;161568.34210231726
09.2000;152202.39561177656
10.2000;158456.0617933505
11.2000;142669.42796373
12.2000;144041.41945594986
01.2001;152135.67670435464
02.2001;138995.63416545393
03.2001;130526.13903503862
04.2001;140255.45729318258
05.2001;136244.03895667748
06.2001;135640.4343445651
07.2001;131225.56587932387
08.2001;116157.39393260943
09.2001;96454.71845964402
10.2001;102073.8833538565
11.2001;111718.57158849211
12.2001;115528.93764692712
01.2002;114353.74454270682
02.2002;112819.43356095377
03.2002;120839.35967759992
04.2002;112866.89801858278
05.2002;107876.4132990037
06.2002;98120.67614463228
07.2002;82842.04634501287
08.2002;83128.62420239561
09.2002;61995.522220978404
10.2002;70588.8279413411
11.2002;74338.29620508228
12.2002;64729.20631366842
01.2003;61520.87764468824
02.2003;57025.63528489869
03.2003;54267.771185492
04.2003;65869.02496361805
05.2003;66778.90966080825
06.2003;72105.22780700773
07.2003;78089.33169148103
08.2003;78015.8961155267
09.2003;72915.70580991829
10.2003;81853.5766259935
11.2003;83867.68162991157
12.2003;88775.55132654204
01.2004;90867.56968543603
02.2004;89962.16276726744
03.2004;86347.25176312549
04.2004;89224.44867345797
05.2004;87796.03716556588
06.2004;90736.14687115191
07.2004;87218.4036717788
08.2004;84746.66965185269
09.2004;87157.72976603605
10.2004;88665.62185156163
11.2004;92376.58121571701
12.2004;95288.92869136909
01.2005;95261.39035038621
02.2005;97402.66427851786
03.2005;97364.15537893208
04.2005;93693.94380387328
05.2005;99868.57718571588
06.2005;102681.74185603941
07.2005;109403.3359453711
08.2005;108131.42057539462
09.2005;112932.27359229822
10.2005;110356.43121011979
11.2005;116274.48785402441
12.2005;121084.96585693497
01.2006;127037.94917720811
02.2006;129766.93160192545
03.2006;133663.49490652638
04.2006;134554.79682077692
05.2006;127456.84540467929
06.2006;127243.03145639766
07.2006;127213.03033695288
08.2006;131189.29810813838
09.2006;134430.31456397628
10.2006;140354.192320609
11.2006;141255.7908877197
12.2006;147697.74991604165
01.2007;152000.67166685325
02.2007;150351.28176424495
03.2007;154864.65912907198
04.2007;165876.4132990037
05.2007;176492.5556923766
06.2007;179275.0475764021
07.2007;169800.51494458748
08.2007;171010.18694727417
09.2007;176010.5227807008
10.2007;179541.47542818764
11.2007;176212.2467256241
12.2007;180618.3812828837
01.2008;153403.11205642
02.2008;151083.17474532634
03.2008;146310.7578640994
04.2008;155576.40210455615
05.2008;158889.28691369083
06.2008;143699.09324974814
